Gal,Mm,RAJ2000,DEJ2000,HRV,Mem?
BooI, ,13 59 02.33,+14 30 23.2,123,y
BooI, ,13 58 59.98,+14 23 40.5,-38,n
BooI,M,13 59 35.53,+14 20 23.7,106,y
BooI,M,13 59 38.62,+14 19 15.9,106,y
BooI,M,13 59 48.81,+14 19 42.9,112,y
BooI, ,14 00 01.54,+14 21 54.2,105,y
BooI, ,14 00 07.06,+14 20 27.0,105,y
BooI,M,14 00 11.73,+14 25 01.4,107,y
BooI,M,14 00 21.11,+14 17 27.9,111,y
BooI,M,14 00 25.83,+14 26 07.6,105,y
BooI, ,14 00 26.18,+14 27 29.5,65,n
BooI, ,14 00 40.78,+14 17 22.0,14,n
BooI, ,13 59 20.47,+14 44 56.9,30,n
BooI, ,14 00 32.00,+14 43 02.5,97,y
BooI, ,14 00 40.38,+14 45 44.9,-76,n
BooI, ,13 59 36.79,+14 11 40.8,91,y
BooI, ,13 59 36.20,+14 14 52.4,-3,n
BooI, ,13 59 43.41,+14 16 01.6,27,n
BooI, ,14 00 03.02,+14 12 36.0,95,y
BooI, ,14 00 28.55,+14 13 44.4,-12,n
BooI,M,14 00 14.73,+14 13 13.9,105,y
BooI, ,13 58 50.77,+14 35 30.4,16,n
BooI, ,13 58 55.98,+14 40 35.1,-38,n
BooI, ,13 59 15.34,+14 35 52.8,-4,n
BooI, ,13 59 35.66,+14 37 35.0,2,n
BooI, ,13 59 21.37,+14 36 06.3,-14,n
BooI,M,14 00 31.51,+14 34 03.6,94,y
BooI, ,13 59 08.12,+14 32 28.1,20,n
BooI, ,14 00 12.92,+14 33 11.8,98,y
BooI, ,14 00 22.97,+14 30 45.0,-45,n
BooI,M,14 00 10.49,+14 31 45.5,96,y
BooI,M,14 00 36.52,+14 39 27.3,112,y
BooI,M,14 00 14.57,+14 35 52.7,99,y
BooI,M,13 59 48.98,+14 30 06.2,111,y
BooI, ,13 59 39.37,+14 26 38.4,127,y
BooI, ,13 59 46.34,+14 25 11.8,91,y
BooI, ,13 58 52.92,+14 25 05.3,-24,n
BooI, ,13 59 29.95,+14 14 56.7,126,y
BooI, ,14 00 42.15,+14 15 20.4,5,n
BooI, ,13 59 09.10,+14 33 11.3,113,y
BooI, ,14 03 52.07,+14 14 33.5,123,y
BooI, ,14 03 27.88,+14 15 10.3,-144,n
BooI, ,14 03 45.02,+14 48 33.9,-162,n
BooI, ,14 03 25.77,+14 23 06.2,11,n
BooI, ,14 03 18.84,+14 18 25.6,-39,n
BooI, ,14 03 03.33,+13 57 08.8,118,y
BooI, ,14 03 05.58,+14 31 19.5,-39,n
BooI, ,14 02 41.93,+14 04 56.4,-12,n
BooI, ,14 02 53.39,+14 31 59.3,171,n
BooI, ,14 02 24.00,+13 51 16.2,26,n
BooI, ,14 02 14.20,+13 49 54.4,63,n
BooI, ,14 02 23.66,+14 09 28.6,-6,n
BooI, ,14 02 27.15,+14 23 13.0,45,n
BooI, ,14 02 19.02,+14 18 25.3,-12,n
BooI, ,14 01 39.94,+13 35 55.1,-21,n
BooI, ,14 01 30.41,+13 48 56.6,75,n
BooI, ,14 01 41.91,+14 08 43.0,-145,n
BooI, ,14 01 42.53,+14 15 20.1,3,n
BooI, ,14 01 17.19,+13 38 43.1,-113,n
BooI, ,14 01 45.40,+14 41 54.7,85,y
BooI, ,14 01 05.84,+13 38 46.4,-37,n
BooI, ,14 01 27.35,+14 24 43.9,125,y
BooI, ,14 01 22.38,+14 17 24.3,29,n
