RA,DEC,gmag,RV,e_RV,Mm
209.839,14.6017,17.8,-13.5,0.1,
209.8442,14.5502,19,139.12,0.35,
209.8896,14.4727,21.9,115.4,3.91,
209.8932,14.5048,22,77.11,3.25,
209.8949,14.5843,21.2,-228.29,1.36,
209.8986,14.6264,20,-19.4,0.44,
209.9067,14.4466,21.6,103.23,2.54,
209.914,14.444,20.4,101.91,0.77,B
209.9174,14.4078,17.5,-49.8,0.05,
209.9195,14.4533,22.1,X,X,
209.9241,14.6765,22.2,X,X,
209.9258,14.4951,19.6,90.34,0.38,B
209.9297,14.6817,21.2,-137.63,2.38,
209.931,14.5773,20.7,99.81,1.16,B
209.9358,14.6193,20.4,97.93,0.87,B
209.9363,14.4338,21.6,X,X,
209.9373,14.5417,20.8,103.07,1.07,B
209.9378,14.3909,21.2,102.84,1.55,B
209.9405,14.4313,22.2,100.09,5.87,
209.9405,14.3753,21.7,91.91,2.76,
209.9428,14.5692,19.9,143.52,0.55,
209.9431,14.42,20.4,98.12,0.83,B
209.9461,14.4813,21.5,100.99,2.46,B
209.9482,14.3929,17.7,36.75,0.15,
209.9506,14.613,20.9,103.2,1.27,B
209.9514,14.5343,19.7,106.17,0.53,B
209.9522,14.7012,20.3,111.75,2.08,
209.954,14.4079,20.9,-34.96,1.07,
209.9589,14.329,20.3,101.74,0.94,B
209.9615,14.5206,21.8,92.81,2.58,
209.9621,14.5008,17.5,99.95,0.09,
209.9628,14.5138,22,102.14,3.18,
209.9639,14.6516,19.3,111.07,1.98,
209.9655,14.5954,19.4,99.94,0.3,B
209.9662,14.5053,21.3,35.47,1.67,
209.9672,14.6776,21.4,82.79,8.22,
209.9681,14.546,20.7,99.05,1.31,B
209.9709,14.3756,22.2,102.67,5.89,
209.9713,14.4595,20.8,104.7,1.28,B
209.974,14.5156,20.7,122.91,0.86,
209.9747,14.4977,22.1,-235.57,4.39,
209.9767,14.7123,21.2,-45.51,6.79,
209.9787,14.6209,19.5,109.8,1.68,
209.9806,14.5813,19.7,100.03,0.38,B
209.9833,14.5738,19.6,114.36,0.38,
209.9851,14.5992,17.3,-37.63,0.08,
209.9852,14.3493,19.2,-72.15,0.33,
209.9863,14.4212,19.8,13.06,0.27,
209.991,14.4674,20.4,101.64,0.92,
209.9946,14.6779,22.3,107.88,6.46,
209.9988,14.6092,20.9,224.82,7.09,
210.001,14.543,20.6,108.27,0.89,B
210.0031,14.5914,19.7,99.52,2.69,
210.0041,14.5241,21.8,110.49,3.12,
210.0059,14.5734,20.6,-28.59,0.92,
210.0064,14.3651,19.9,103.5,0.44,B
210.0069,14.4152,19.2,93.97,0.26,
210.0093,14.6873,20.9,79.61,1.25,
210.0095,14.4482,22,103.6,3.6,
210.0102,14.3803,21.2,101.64,1.55,B
210.0128,14.5066,21.5,102.06,1.83,B
210.0138,14.481,20.7,105.36,1.67,
210.0145,14.6645,21.7,103.9,4,
210.0215,14.5744,20.9,104.05,1.39,B
210.0222,14.5065,21,100.19,1.53,B
210.0234,14.4386,20.4,106.22,0.81,B
210.0361,14.6151,20.9,103.07,1.23,B
210.0429,14.4407,21.9,102.33,3.48,
210.0442,14.64,19.9,101.19,0.52,B
210.0446,14.4901,19.7,103.55,0.34,B
210.048,14.4322,21.5,114.41,2.07,B
210.051,14.4894,21.3,91.42,2.61,
210.0517,14.5576,20.6,-90,1.4,
210.0538,14.5533,19.6,101.39,0.31,B
210.0556,14.4384,18.7,44.92,0.16,
210.0611,14.6585,21.3,99.91,2.29,
210.064,14.3842,18.2,65.88,0.12,
210.0649,14.3968,18.5,-53.39,0.09,
210.0659,14.5797,21.7,117.33,6.4,
210.0673,14.5297,21.2,X,X,
210.0691,14.5917,19.6,99.39,1.21,
210.0693,14.4904,21.3,97.21,2.09,
210.0858,14.6261,22.1,102.01,5.57,
210.0875,14.6565,19.5,-30.74,0.32,
210.091,14.4315,21,90.41,1.38,B
210.0921,14.6439,19.5,93.84,1.52,
210.0935,14.5575,19.6,98.47,0.44,B
210.0972,14.4356,21.9,92.79,2.3,
210.0974,14.5459,21.7,100.02,4.23,
210.1048,14.563,21,100.22,1.47,B
210.1062,14.4881,21,102.16,1.23,B
210.1094,14.5762,18.8,29.74,0.17,
210.1105,14.4889,21.5,-117.49,2.59,
210.1107,14.4969,21.2,108.1,1.52,B
210.112,14.7012,21.9,-27.44,9.14,
210.1127,14.6418,19.6,105.37,1.81,B
210.1137,14.5388,20.3,105.68,0.79,B
210.1173,14.5533,22.2,X,X,
210.1183,14.3979,21.4,98.85,2.94,
210.1197,14.5285,21.8,2.25,2.25,
210.1206,14.4173,21.8,103.4,3.65,
210.1206,14.6427,22.2,100.54,5.12,
210.1305,14.6219,21.9,-43.94,3.64,
210.1324,14.3376,19.2,6.44,0.41,
210.1329,14.6856,22.4,136.32,6.38,
210.1339,14.6077,21.9,164.05,3.63,
210.1349,14.46,22.2,X,X,
210.1356,14.4002,19.1,-60.56,0.19,
210.1378,14.4999,19.7,96.86,0.44,B
210.1406,14.4206,18.6,-40.08,0.13,
210.1499,14.4818,21.6,-123.72,2.82,
210.1558,14.4828,17.4,106.95,0.16,
210.1648,14.4744,19.6,95.13,3.71,
210.1704,14.5356,21.9,106.83,4.28,
210.1981,14.4033,21,117.74,1.62,B
210.1982,14.4417,21.3,99.13,2.14,B
210.2217,14.4515,16.6,42.3,0.07,
210.2413,14.4817,21.7,103.03,3.83,
