RA,DEC,Mm
14 00 23.75,+14 30 46.3,n
13 59 41.24,+14 33 09.4,n
14 00 31.82,+14 32 24.4,n
14 00 10.49,+14 31 45.5,y
14 00 12.92,+14 33 11.8,y
14 00 33.08,+14 29 59.7,y
14 00 22.97,+14 30 45.0,n
14 00 03.08,+14 30 23.6,y
14 00 24.62,+14 31 59.6,n
13 59 44.27,+14 32 41.2,y
13 59 52.33,+14 32 45.7,y
13 59 53.76,+14 30 56.0,n
14 00 05.34,+14 30 23.3,y
14 00 00.83,+14 33 07.7,n
13 59 44.96,+14 32 30.1,y
14 00 15.42,+14 32 08.5,n
14 00 23.38,+14 32 45.3,y
13 59 51.08,+14 30 49.8,y
13 59 50.76,+14 31 14.2,y
13 59 48.85,+14 33 43.6,n
14 00 12.25,+14 31 51.9,n
14 00 13.93,+14 33 04.4,n
14 00 17.14,+14 33 48.6,n
14 00 24.94,+14 30 56.9,n
14 00 27.29,+14 32 19.6,y
14 00 22.45,+14 33 26.9,y
14 00 25.71,+14 34 15.4,n
14 00 06.98,+14 32 07.8,n
14 00 28.73,+14 31 18.2,n
14 00 07.35,+14 31 51.1,n
13 59 36.02,+14 34 07.1,n
13 59 40.86,+14 32 48.3,n
14 00 29.72,+14 31 50.0,n
13 59 45.95,+14 31 40.6,n
13 59 48.34,+14 32 03.6,y
13 59 40.29,+14 30 59.7,n
13 59 31.58,+14 32 55.3,n
13 59 33.58,+14 30 44.6,n
14 00 05.67,+14 33 29.8,n
14 00 08.99,+14 33 26.6,n
14 00 09.89,+14 30 52.0,n
14 00 04.87,+14 31 44.2,n
13 59 39.84,+14 34 33.4,n
13 59 56.61,+14 32 43.3,n
13 59 46.27,+14 34 09.2,n
13 59 47.72,+14 30 50.6,n
13 59 48.04,+14 31 16.3,n
14 00 32.48,+14 30 29.9,n
14 00 04.61,+14 31 28.1,n
13 59 57.69,+14 29 55.4,n
13 59 43.83,+14 32 48.8,n
14 00 18.66,+14 33 23.1,n
13 59 22.71,+14 25 56.8,n
14 00 20.11,+14 29 23.6,n
13 59 33.85,+14 29 12.1,n
14 00 19.77,+14 27 04.6,n
13 59 57.85,+14 28 02.5,y
13 59 39.37,+14 26 38.4,y
13 59 42.19,+14 29 42.3,y
14 00 03.33,+14 28 51.5,y
14 00 05.61,+14 26 18.9,y
13 59 47.07,+14 28 52.6,y
14 00 09.85,+14 28 23.0,y
13 59 50.63,+14 29 11.1,y
14 00 11.54,+14 25 56.1,y
14 00 25.83,+14 26 07.6,y
14 00 13.84,+14 26 07.9,n
14 00 21.84,+14 25 53.4,y
14 00 26.18,+14 27 29.5,n
13 59 33.51,+14 28 21.6,y
13 59 34.38,+14 30 17.2,y
13 59 32.07,+14 27 12.5,n
13 59 32.74,+14 28 23.5,n
14 00 02.29,+14 26 53.4,y
13 59 45.71,+14 25 52.6,y
14 00 01.73,+14 26 16.2,n
14 00 28.70,+14 27 05.2,n
14 00 23.34,+14 26 08.0,y
14 00 25.04,+14 26 27.0,n
14 00 22.78,+14 29 20.5,n
14 00 15.97,+14 30 24.8,n
13 59 36.00,+14 29 38.5,n
13 59 26.54,+14 26 45.3,n
13 59 26.24,+14 29 29.2,n
13 59 37.39,+14 29 41.6,n
13 59 45.17,+14 29 03.9,n
14 00 04.12,+14 27 36.7,n
14 00 04.62,+14 26 08.4,n
13 59 49.62,+14 28 12.0,n
14 00 10.26,+14 26 00.4,n
13 59 43.92,+14 29 00.0,n
13 59 52.16,+14 28 37.7,n
13 59 50.91,+14 28 42.6,n
14 00 06.65,+14 28 49.6,n
14 00 14.85,+14 29 09.6,n
14 00 15.18,+14 27 49.8,n
